carid,make,model,year,transmissionid,engineid
0,gmc,sierra 1500 crew cab slt,2014.0,19,0
1,chevrolet,silverado 1500,2010.0,17,5
2,chevrolet,silverado 1500 crew,2020.0,2,13
3,toyota,tundra double cab sr,2017.0,11,8
4,ford,f-150 xlt,2013.0,5,18
5,gmc,sierra 2500 hd extended cab,2012.0,5,11
6,chevrolet,silverado 1500 double,2016.0,12,8
7,toyota,tacoma,2019.0,0,1
8,chevrolet,colorado extended cab,2016.0,10,6
9,chevrolet,corvette grand sport,2011.0,12,0
10,jeep,cherokee,1992.0,4,20
11,jeep,wrangler unlimited sport,2017.0,3,19
12,chevrolet,silverado 1500 regular,2017.0,16,20
13,chevrolet,colorado crew cab z71,2016.0,0,6
14,toyota,tacoma access cab pickup,2014.0,13,18
15,chevrolet,camaro ss coupe 2d,2016.0,11,4
16,toyota,tundra crewmax sr5 pickup,2014.0,5,9
17,ford,ranger supercrew xl pickup,2019.0,5,20
18,nissan,frontier crew cab pro-4x,2018.0,13,16
19,jeep,compass,2011.0,19,9
20,ford,f150 super cab xl pickup 4d,2018.0,7,7
21,toyota,tacoma double cab sr5,2016.0,12,4
22,jeep,wrangler sport suv 2d,2020.0,12,18
23,ford,f150 supercrew cab xlt,2020.0,9,11
24,ram,1500 regular cab tradesman,2017.0,16,17
25,mazda,mx-5 miata club,2020.0,12,1
26,ford,ranger supercab xl pickup,2020.0,7,14
27,cadillac,xt4 sport suv 4d,2019.0,10,0
28,ford,f250 super duty,2004.0,12,8
29,jeep,renegade sport suv 4d,2016.0,8,14
30,ford,f150 regular cab xl pickup,2016.0,19,14
31,gmc,sierra 1500 regular cab,2015.0,19,6
32,honda,odyssey,2012.0,0,0
33,ram,1500 quad cab express pickup,2018.0,20,3
34,gmc,sierra 1500 extended cab slt,2013.0,7,4
35,ram,1500 classic regular cab,2019.0,13,20
36,ford,mustang gt premium,2018.0,11,11
37,chevrolet,colorado extended cab,2017.0,1,8
38,ford,f450,2001.0,2,14
39,chevrolet,silverado 1500 ld,2019.0,14,12
40,toyota,tundra double cab pickup,2013.0,8,14
41,chevrolet,silverado 1500 double,2014.0,9,3
42,chevrolet,silverado 1500 regular,2016.0,19,19
