carid,mpgcity,mpghighway,mpgmixed
0,19.439999999999998,32.4,25.919999999999998
1,54.0,90.0,72.0
2,40.5,67.5,54.0
3,34.56,57.60000000000001,46.080000000000005
4,15.840000000000003,26.400000000000006,21.120000000000005
5,27.0,45.0,36.0
6,40.5,67.5,54.0
7,32.400000000000006,54.0,43.2
8,42.120000000000005,70.2,56.160000000000004
9,64.80000000000001,108.0,86.4
10,37.125,61.875,49.5
11,34.56,57.60000000000001,46.080000000000005
12,32.400000000000006,54.0,43.2
13,15.840000000000003,26.400000000000006,21.120000000000005
14,48.599999999999994,81.0,64.8
15,63.17999999999999,105.3,84.24
16,81.0,135.0,108.0
17,15.840000000000003,26.400000000000006,21.120000000000005
18,37.800000000000004,63.00000000000001,50.400000000000006
19,15.840000000000003,26.400000000000006,21.120000000000005
20,32.400000000000006,54.0,43.2
21,64.80000000000001,108.0,86.4
22,15.840000000000003,26.400000000000006,21.120000000000005
23,48.599999999999994,81.0,64.8
24,63.17999999999999,105.3,84.24
25,42.120000000000005,70.2,56.160000000000004
26,19.439999999999998,32.4,25.919999999999998
27,37.125,61.875,49.5
28,36.449999999999996,60.74999999999999,48.599999999999994
29,27.0,45.0,36.0
30,63.17999999999999,105.3,84.24
31,52.650000000000006,87.75,70.2
32,30.240000000000002,50.4,40.32
33,40.5,67.5,54.0
34,36.449999999999996,60.74999999999999,48.599999999999994
35,37.125,61.875,49.5
36,32.400000000000006,54.0,43.2
37,21.599999999999998,36.0,28.799999999999997
38,37.125,61.875,49.5
39,32.400000000000006,54.0,43.2
40,32.400000000000006,54.0,43.2
41,34.56,57.60000000000001,46.080000000000005
42,36.449999999999996,60.74999999999999,48.599999999999994
43,40.5,67.5,54.0
44,32.400000000000006,54.0,43.2
45,54.0,90.0,72.0
46,34.56,57.60000000000001,46.080000000000005
47,52.650000000000006,87.75,70.2
48,37.125,61.875,49.5
49,36.449999999999996,60.74999999999999,48.599999999999994
50,54.0,90.0,72.0
51,21.599999999999998,36.0,28.799999999999997
52,37.800000000000004,63.00000000000001,50.400000000000006
53,37.800000000000004,63.00000000000001,50.400000000000006
54,21.599999999999998,36.0,28.799999999999997
55,42.120000000000005,70.2,56.160000000000004
56,63.17999999999999,105.3,84.24
57,21.599999999999998,36.0,28.799999999999997
58,48.599999999999994,81.0,64.8
59,48.599999999999994,81.0,64.8
60,15.840000000000003,26.400000000000006,21.120000000000005
61,37.125,61.875,49.5
62,21.599999999999998,36.0,28.799999999999997
63,40.5,67.5,54.0
64,64.80000000000001,108.0,86.4
65,32.400000000000006,54.0,43.2
66,21.599999999999998,36.0,28.799999999999997
67,54.0,90.0,72.0
68,19.439999999999998,32.4,25.919999999999998
69,42.120000000000005,70.2,56.160000000000004
70,32.400000000000006,54.0,43.2
71,32.400000000000006,54.0,43.2
72,54.0,90.0,72.0
73,64.80000000000001,108.0,86.4
74,48.599999999999994,81.0,64.8
75,40.5,67.5,54.0
76,54.0,90.0,72.0
77,32.400000000000006,54.0,43.2
78,38.88,64.80000000000001,51.84
79,54.0,90.0,72.0
80,45.9,76.5,61.199999999999996
81,15.840000000000003,26.400000000000006,21.120000000000005
82,21.599999999999998,36.0,28.799999999999997
83,36.449999999999996,60.74999999999999,48.599999999999994
84,63.17999999999999,105.3,84.24
85,30.240000000000002,50.4,40.32
86,36.449999999999996,60.74999999999999,48.599999999999994
87,37.125,61.875,49.5
88,48.599999999999994,81.0,64.8
89,64.80000000000001,108.0,86.4
90,21.599999999999998,36.0,28.799999999999997
91,32.400000000000006,54.0,43.2
92,64.80000000000001,108.0,86.4
93,52.650000000000006,87.75,70.2
94,52.650000000000006,87.75,70.2
95,32.400000000000006,54.0,43.2
96,19.439999999999998,32.4,25.919999999999998
97,34.56,57.60000000000001,46.080000000000005
98,42.120000000000005,70.2,56.160000000000004
99,81.0,135.0,108.0
100,32.400000000000006,54.0,43.2
101,19.439999999999998,32.4,25.919999999999998
102,38.88,64.80000000000001,51.84
103,37.800000000000004,63.00000000000001,50.400000000000006
104,36.449999999999996,60.74999999999999,48.599999999999994
105,64.80000000000001,108.0,86.4
106,37.125,61.875,49.5
107,32.400000000000006,54.0,43.2
108,21.599999999999998,36.0,28.799999999999997
109,54.0,90.0,72.0
110,37.125,61.875,49.5
111,36.449999999999996,60.74999999999999,48.599999999999994
112,32.400000000000006,54.0,43.2
113,32.400000000000006,54.0,43.2
114,32.400000000000006,54.0,43.2
115,37.125,61.875,49.5
116,81.0,135.0,108.0
117,34.56,57.60000000000001,46.080000000000005
118,32.400000000000006,54.0,43.2
119,40.5,67.5,54.0
120,27.0,45.0,36.0
121,32.400000000000006,54.0,43.2
122,21.599999999999998,36.0,28.799999999999997
123,45.9,76.5,61.199999999999996
124,42.120000000000005,70.2,56.160000000000004
125,37.125,61.875,49.5
126,21.599999999999998,36.0,28.799999999999997
127,40.5,67.5,54.0
128,37.800000000000004,63.00000000000001,50.400000000000006
129,40.5,67.5,54.0
130,30.240000000000002,50.4,40.32
131,64.80000000000001,108.0,86.4
132,36.449999999999996,60.74999999999999,48.599999999999994
133,54.0,90.0,72.0
134,30.240000000000002,50.4,40.32
135,15.840000000000003,26.400000000000006,21.120000000000005
136,38.88,64.80000000000001,51.84
137,45.9,76.5,61.199999999999996
138,34.56,57.60000000000001,46.080000000000005
139,63.17999999999999,105.3,84.24
140,34.56,57.60000000000001,46.080000000000005
141,32.400000000000006,54.0,43.2
142,37.800000000000004,63.00000000000001,50.400000000000006
143,27.0,45.0,36.0
144,45.9,76.5,61.199999999999996
145,38.88,64.80000000000001,51.84
146,45.9,76.5,61.199999999999996
147,27.0,45.0,36.0
148,38.88,64.80000000000001,51.84
149,30.240000000000002,50.4,40.32
150,54.0,90.0,72.0
151,32.400000000000006,54.0,43.2
152,52.650000000000006,87.75,70.2
153,30.240000000000002,50.4,40.32
154,40.5,67.5,54.0
155,54.0,90.0,72.0
156,37.800000000000004,63.00000000000001,50.400000000000006
157,32.400000000000006,54.0,43.2
158,45.9,76.5,61.199999999999996
159,37.125,61.875,49.5
160,15.840000000000003,26.400000000000006,21.120000000000005
161,21.599999999999998,36.0,28.799999999999997
162,34.56,57.60000000000001,46.080000000000005
163,63.17999999999999,105.3,84.24
164,32.400000000000006,54.0,43.2
165,37.800000000000004,63.00000000000001,50.400000000000006
166,40.5,67.5,54.0
167,63.17999999999999,105.3,84.24
168,37.125,61.875,49.5
169,15.840000000000003,26.400000000000006,21.120000000000005
170,64.80000000000001,108.0,86.4
171,40.5,67.5,54.0
172,52.650000000000006,87.75,70.2
173,45.9,76.5,61.199999999999996
174,15.840000000000003,26.400000000000006,21.120000000000005
175,52.650000000000006,87.75,70.2
176,30.240000000000002,50.4,40.32
177,32.400000000000006,54.0,43.2
178,52.650000000000006,87.75,70.2
179,54.0,90.0,72.0
180,15.840000000000003,26.400000000000006,21.120000000000005
181,37.800000000000004,63.00000000000001,50.400000000000006
182,40.5,67.5,54.0
183,15.840000000000003,26.400000000000006,21.120000000000005
184,42.120000000000005,70.2,56.160000000000004
185,19.439999999999998,32.4,25.919999999999998
186,36.449999999999996,60.74999999999999,48.599999999999994
187,34.56,57.60000000000001,46.080000000000005
188,48.599999999999994,81.0,64.8
189,21.599999999999998,36.0,28.799999999999997
190,42.120000000000005,70.2,56.160000000000004
191,63.17999999999999,105.3,84.24
192,48.599999999999994,81.0,64.8
193,54.0,90.0,72.0
194,42.120000000000005,70.2,56.160000000000004
195,52.650000000000006,87.75,70.2
196,34.56,57.60000000000001,46.080000000000005
197,40.5,67.5,54.0
198,37.800000000000004,63.00000000000001,50.400000000000006
199,19.439999999999998,32.4,25.919999999999998
200,36.449999999999996,60.74999999999999,48.599999999999994
201,19.439999999999998,32.4,25.919999999999998
202,27.0,45.0,36.0
203,52.650000000000006,87.75,70.2
204,34.56,57.60000000000001,46.080000000000005
205,63.17999999999999,105.3,84.24
206,64.80000000000001,108.0,86.4
207,19.439999999999998,32.4,25.919999999999998
208,54.0,90.0,72.0
209,32.400000000000006,54.0,43.2
210,34.56,57.60000000000001,46.080000000000005
211,19.439999999999998,32.4,25.919999999999998
212,52.650000000000006,87.75,70.2
213,37.125,61.875,49.5
214,37.800000000000004,63.00000000000001,50.400000000000006
215,40.5,67.5,54.0
216,34.56,57.60000000000001,46.080000000000005
217,32.400000000000006,54.0,43.2
218,48.599999999999994,81.0,64.8
219,37.125,61.875,49.5
220,37.800000000000004,63.00000000000001,50.400000000000006
221,32.400000000000006,54.0,43.2
222,38.88,64.80000000000001,51.84
223,38.88,64.80000000000001,51.84
224,34.56,57.60000000000001,46.080000000000005
225,32.400000000000006,54.0,43.2
226,40.5,67.5,54.0
227,34.56,57.60000000000001,46.080000000000005
228,54.0,90.0,72.0
229,32.400000000000006,54.0,43.2
230,30.240000000000002,50.4,40.32
231,30.240000000000002,50.4,40.32
232,37.800000000000004,63.00000000000001,50.400000000000006
233,64.80000000000001,108.0,86.4
234,21.599999999999998,36.0,28.799999999999997
235,34.56,57.60000000000001,46.080000000000005
236,63.17999999999999,105.3,84.24
237,48.599999999999994,81.0,64.8
238,27.0,45.0,36.0
239,32.400000000000006,54.0,43.2
240,40.5,67.5,54.0
241,40.5,67.5,54.0
242,52.650000000000006,87.75,70.2
243,63.17999999999999,105.3,84.24
244,34.56,57.60000000000001,46.080000000000005
245,52.650000000000006,87.75,70.2
246,40.5,67.5,54.0
247,81.0,135.0,108.0
248,40.5,67.5,54.0
249,40.5,67.5,54.0
250,34.56,57.60000000000001,46.080000000000005
251,81.0,135.0,108.0
252,40.5,67.5,54.0
253,37.125,61.875,49.5
254,15.840000000000003,26.400000000000006,21.120000000000005
