engineid,manufacturer,cylinders,displacement,induction,fueltype,valvetype
0,tesla,10,4.5,Forced Induction,Gas,DOHC
1,toyota,12,4.800000000000001,Naturally Aspirated,Hybrid,SOHC
2,ram,10,5.5,Naturally Aspirated,Gas,DOHC
3,ferrari,7,3.5,Naturally Aspirated,Hybrid,DOHC
4,chrysler,12,4.800000000000001,Forced Induction,Hybrid,SOHC
5,ferrari,9,4.5,Forced Induction,Diesel,SOHC
6,pontiac,12,4.800000000000001,Naturally Aspirated,Hybrid,DOHC
7,nissan,4,1.6,Naturally Aspirated,Gas,DOHC
8,harley-davidson,11,4.4,Forced Induction,Hybrid,OHV
9,volkswagen,6,2.4000000000000004,Forced Induction,Diesel,OHV
10,audi,6,3.3000000000000003,Naturally Aspirated,Diesel,OHV
11,volvo,4,2.2,Naturally Aspirated,Hybrid,SOHC
12,harley-davidson,7,2.8000000000000003,Forced Induction,Diesel,DOHC
13,bmw,4,2.2,Forced Induction,Diesel,SOHC
14,buick,11,4.95,Naturally Aspirated,Gas,DOHC
15,jaguar,4,2.2,Forced Induction,Hybrid,SOHC
16,lincoln,3,1.2000000000000002,Forced Induction,Gas,DOHC
17,ford,9,4.5,Naturally Aspirated,Gas,OHV
18,ferrari,10,4.0,Naturally Aspirated,Hybrid,OHV
19,bmw,8,3.6,Forced Induction,Diesel,DOHC
20,volvo,7,3.15,Naturally Aspirated,Hybrid,OHV
21,land rover,5,2.25,Forced Induction,Hybrid,SOHC
22,ford,3,1.5,Naturally Aspirated,Gas,OHV
23,aston-martin,12,5.4,Naturally Aspirated,Gas,SOHC
24,ferrari,3,1.5,Naturally Aspirated,Hybrid,SOHC
25,hyundai,6,3.3000000000000003,Forced Induction,Gas,SOHC
26,honda,8,3.2,Forced Induction,Diesel,OHV
27,mazda,9,3.6,Forced Induction,Diesel,SOHC
28,land rover,6,3.0,Forced Induction,Diesel,SOHC
29,porsche,9,4.5,Forced Induction,Hybrid,SOHC
30,jeep,9,4.5,Forced Induction,Hybrid,DOHC
31,ferrari,7,2.8000000000000003,Forced Induction,Hybrid,SOHC
32,mini,10,4.0,Forced Induction,Diesel,SOHC
33,rover,5,2.0,Naturally Aspirated,Gas,DOHC
34,bmw,7,3.8500000000000005,Forced Induction,Diesel,OHV
35,toyota,6,2.4000000000000004,Naturally Aspirated,Gas,SOHC
36,ram,3,1.35,Naturally Aspirated,Hybrid,DOHC
37,mitsubishi,4,2.0,Forced Induction,Hybrid,SOHC
38,audi,3,1.35,Naturally Aspirated,Gas,OHV
39,kia,8,3.2,Forced Induction,Hybrid,DOHC
40,mercury,9,4.5,Naturally Aspirated,Gas,DOHC
