carid,horsepower,torque,zerotosixty,topspeed
0,415.8,415.8,0,300
1,123.2,123.2,0,300
2,369.6000000000001,369.6000000000001,0,300
3,134.4,134.4,0,300
4,252.0,252.0,0,300
5,378.0,378.0,0,300
6,369.6000000000001,369.6000000000001,0,300
7,369.6000000000001,369.6000000000001,0,300
8,194.04000000000002,194.04000000000002,0,300
9,169.4,169.4,0,300
10,252.0,252.0,0,300
11,134.4,134.4,0,300
12,369.6000000000001,369.6000000000001,0,300
13,252.0,252.0,0,300
14,241.92000000000002,241.92000000000002,0,300
15,323.4,323.4,0,300
16,169.4,169.4,0,300
17,252.0,252.0,0,300
18,107.52000000000004,107.52000000000004,0,300
19,252.0,252.0,0,300
20,246.4,246.4,0,300
21,169.4,169.4,0,300
22,252.0,252.0,0,300
23,241.92000000000002,241.92000000000002,0,300
24,323.4,323.4,0,300
25,194.04000000000002,194.04000000000002,0,300
26,415.8,415.8,0,300
27,252.0,252.0,0,300
28,271.04,271.04,0,300
29,378.0,378.0,0,300
30,323.4,323.4,0,300
31,188.16000000000005,188.16000000000005,0,300
32,147.84000000000003,147.84000000000003,0,300
33,369.6000000000001,369.6000000000001,0,300
34,271.04,271.04,0,300
35,252.0,252.0,0,300
36,246.4,246.4,0,300
37,462.0,462.0,0,300
38,252.0,252.0,0,300
39,369.6000000000001,369.6000000000001,0,300
40,246.4,246.4,0,300
41,134.4,134.4,0,300
42,271.04,271.04,0,300
43,369.6000000000001,369.6000000000001,0,300
44,246.4,246.4,0,300
45,123.2,123.2,0,300
46,134.4,134.4,0,300
47,188.16000000000005,188.16000000000005,0,300
48,252.0,252.0,0,300
49,271.04,271.04,0,300
50,123.2,123.2,0,300
51,462.0,462.0,0,300
52,107.52000000000004,107.52000000000004,0,300
53,107.52000000000004,107.52000000000004,0,300
54,462.0,462.0,0,300
55,194.04000000000002,194.04000000000002,0,300
56,323.4,323.4,0,300
57,462.0,462.0,0,300
58,241.92000000000002,241.92000000000002,0,300
59,241.92000000000002,241.92000000000002,0,300
60,252.0,252.0,0,300
61,252.0,252.0,0,300
62,462.0,462.0,0,300
63,369.6000000000001,369.6000000000001,0,300
64,169.4,169.4,0,300
65,369.6000000000001,369.6000000000001,0,300
66,462.0,462.0,0,300
67,123.2,123.2,0,300
68,415.8,415.8,0,300
69,194.04000000000002,194.04000000000002,0,300
70,369.6000000000001,369.6000000000001,0,300
71,369.6000000000001,369.6000000000001,0,300
72,123.2,123.2,0,300
73,169.4,169.4,0,300
74,241.92000000000002,241.92000000000002,0,300
75,369.6000000000001,369.6000000000001,0,300
76,123.2,123.2,0,300
77,369.6000000000001,369.6000000000001,0,300
78,443.5200000000001,443.5200000000001,0,300
79,123.2,123.2,0,300
80,100.80000000000001,100.80000000000001,0,300
81,252.0,252.0,0,300
82,462.0,462.0,0,300
83,271.04,271.04,0,300
84,323.4,323.4,0,300
85,147.84000000000003,147.84000000000003,0,300
86,271.04,271.04,0,300
87,252.0,252.0,0,300
88,241.92000000000002,241.92000000000002,0,300
89,169.4,169.4,0,300
90,462.0,462.0,0,300
91,369.6000000000001,369.6000000000001,0,300
92,169.4,169.4,0,300
93,188.16000000000005,188.16000000000005,0,300
94,188.16000000000005,188.16000000000005,0,300
95,369.6000000000001,369.6000000000001,0,300
96,415.8,415.8,0,300
97,134.4,134.4,0,300
98,194.04000000000002,194.04000000000002,0,300
99,169.4,169.4,0,300
100,369.6000000000001,369.6000000000001,0,300
101,415.8,415.8,0,300
102,443.5200000000001,443.5200000000001,0,300
103,107.52000000000004,107.52000000000004,0,300
104,271.04,271.04,0,300
105,169.4,169.4,0,300
106,252.0,252.0,0,300
107,246.4,246.4,0,300
108,462.0,462.0,0,300
109,123.2,123.2,0,300
110,252.0,252.0,0,300
111,271.04,271.04,0,300
112,246.4,246.4,0,300
113,246.4,246.4,0,300
114,369.6000000000001,369.6000000000001,0,300
115,252.0,252.0,0,300
116,169.4,169.4,0,300
117,134.4,134.4,0,300
118,246.4,246.4,0,300
119,369.6000000000001,369.6000000000001,0,300
120,378.0,378.0,0,300
121,246.4,246.4,0,300
122,462.0,462.0,0,300
123,100.80000000000001,100.80000000000001,0,300
124,194.04000000000002,194.04000000000002,0,300
125,252.0,252.0,0,300
126,462.0,462.0,0,300
127,369.6000000000001,369.6000000000001,0,300
128,107.52000000000004,107.52000000000004,0,300
129,369.6000000000001,369.6000000000001,0,300
130,147.84000000000003,147.84000000000003,0,300
131,169.4,169.4,0,300
132,271.04,271.04,0,300
133,123.2,123.2,0,300
134,147.84000000000003,147.84000000000003,0,300
135,252.0,252.0,0,300
136,443.5200000000001,443.5200000000001,0,300
137,100.80000000000001,100.80000000000001,0,300
138,134.4,134.4,0,300
139,323.4,323.4,0,300
140,134.4,134.4,0,300
141,246.4,246.4,0,300
142,107.52000000000004,107.52000000000004,0,300
143,378.0,378.0,0,300
144,100.80000000000001,100.80000000000001,0,300
145,443.5200000000001,443.5200000000001,0,300
146,100.80000000000001,100.80000000000001,0,300
147,378.0,378.0,0,300
148,443.5200000000001,443.5200000000001,0,300
149,147.84000000000003,147.84000000000003,0,300
150,123.2,123.2,0,300
151,369.6000000000001,369.6000000000001,0,300
152,188.16000000000005,188.16000000000005,0,300
153,147.84000000000003,147.84000000000003,0,300
154,369.6000000000001,369.6000000000001,0,300
155,123.2,123.2,0,300
156,107.52000000000004,107.52000000000004,0,300
157,369.6000000000001,369.6000000000001,0,300
158,100.80000000000001,100.80000000000001,0,300
159,252.0,252.0,0,300
160,252.0,252.0,0,300
161,462.0,462.0,0,300
162,134.4,134.4,0,300
163,323.4,323.4,0,300
164,246.4,246.4,0,300
165,107.52000000000004,107.52000000000004,0,300
166,369.6000000000001,369.6000000000001,0,300
167,323.4,323.4,0,300
168,252.0,252.0,0,300
169,252.0,252.0,0,300
170,169.4,169.4,0,300
171,369.6000000000001,369.6000000000001,0,300
172,188.16000000000005,188.16000000000005,0,300
173,100.80000000000001,100.80000000000001,0,300
174,252.0,252.0,0,300
175,188.16000000000005,188.16000000000005,0,300
176,147.84000000000003,147.84000000000003,0,300
177,369.6000000000001,369.6000000000001,0,300
178,188.16000000000005,188.16000000000005,0,300
179,123.2,123.2,0,300
180,252.0,252.0,0,300
181,107.52000000000004,107.52000000000004,0,300
182,369.6000000000001,369.6000000000001,0,300
183,252.0,252.0,0,300
184,194.04000000000002,194.04000000000002,0,300
185,415.8,415.8,0,300
186,271.04,271.04,0,300
187,134.4,134.4,0,300
188,241.92000000000002,241.92000000000002,0,300
189,462.0,462.0,0,300
190,194.04000000000002,194.04000000000002,0,300
191,323.4,323.4,0,300
192,241.92000000000002,241.92000000000002,0,300
193,123.2,123.2,0,300
194,194.04000000000002,194.04000000000002,0,300
195,188.16000000000005,188.16000000000005,0,300
196,134.4,134.4,0,300
197,369.6000000000001,369.6000000000001,0,300
198,107.52000000000004,107.52000000000004,0,300
199,415.8,415.8,0,300
200,271.04,271.04,0,300
201,415.8,415.8,0,300
202,378.0,378.0,0,300
203,188.16000000000005,188.16000000000005,0,300
204,134.4,134.4,0,300
205,323.4,323.4,0,300
206,169.4,169.4,0,300
207,415.8,415.8,0,300
208,123.2,123.2,0,300
209,246.4,246.4,0,300
210,134.4,134.4,0,300
211,415.8,415.8,0,300
212,188.16000000000005,188.16000000000005,0,300
213,252.0,252.0,0,300
214,107.52000000000004,107.52000000000004,0,300
215,369.6000000000001,369.6000000000001,0,300
216,134.4,134.4,0,300
217,246.4,246.4,0,300
218,241.92000000000002,241.92000000000002,0,300
219,252.0,252.0,0,300
220,107.52000000000004,107.52000000000004,0,300
221,369.6000000000001,369.6000000000001,0,300
222,443.5200000000001,443.5200000000001,0,300
223,443.5200000000001,443.5200000000001,0,300
224,134.4,134.4,0,300
225,369.6000000000001,369.6000000000001,0,300
226,369.6000000000001,369.6000000000001,0,300
227,134.4,134.4,0,300
228,123.2,123.2,0,300
229,369.6000000000001,369.6000000000001,0,300
230,147.84000000000003,147.84000000000003,0,300
231,147.84000000000003,147.84000000000003,0,300
232,107.52000000000004,107.52000000000004,0,300
233,169.4,169.4,0,300
234,462.0,462.0,0,300
235,134.4,134.4,0,300
236,323.4,323.4,0,300
237,241.92000000000002,241.92000000000002,0,300
238,378.0,378.0,0,300
239,369.6000000000001,369.6000000000001,0,300
240,369.6000000000001,369.6000000000001,0,300
241,369.6000000000001,369.6000000000001,0,300
242,188.16000000000005,188.16000000000005,0,300
243,323.4,323.4,0,300
244,134.4,134.4,0,300
245,188.16000000000005,188.16000000000005,0,300
246,369.6000000000001,369.6000000000001,0,300
247,169.4,169.4,0,300
248,369.6000000000001,369.6000000000001,0,300
249,369.6000000000001,369.6000000000001,0,300
250,134.4,134.4,0,300
251,169.4,169.4,0,300
252,369.6000000000001,369.6000000000001,0,300
253,252.0,252.0,0,300
254,252.0,252.0,0,300
255,369.6000000000001,369.6000000000001,0,300
256,188.16000000000005,188.16000000000005,0,300
257,443.5200000000001,443.5200000000001,0,300
258,147.84000000000003,147.84000000000003,0,300
259,443.5200000000001,443.5200000000001,0,300
260,188.16000000000005,188.16000000000005,0,300
261,147.84000000000003,147.84000000000003,0,300
262,134.4,134.4,0,300
263,369.6000000000001,369.6000000000001,0,300
264,369.6000000000001,369.6000000000001,0,300
265,188.16000000000005,188.16000000000005,0,300
266,107.52000000000004,107.52000000000004,0,300
267,194.04000000000002,194.04000000000002,0,300
